KNphi [28.00338113, 28.84181664, 21.14433759, 49.46252534, 59.30197033,
       26.84136451, 51.63413138, 63.41187   , 24.90001225, 40.11151919,
       42.30267616, 18.87695094, 55.06204702, 53.91511799, 28.64139531,
       41.64408314, 41.50236677, 30.12996258, 52.79320033, 61.305053  ]

log10mdyn [-2.1685562 , -1.53114099, -1.89340053, -2.45002188, -2.72305989,
       -2.97836487, -2.22463734, -1.8359392 , -2.04675365, -2.39641537,
       -1.93035833, -1.99174893, -2.8388448 , -2.91796954, -2.28273025,
       -2.10663757, -2.78966645, -1.71379507, -2.55730184, -2.75972211]

log10mwind [-1.62913266, -0.78967631, -0.77958405, -1.77082526, -1.8503249 ,
       -0.69157357, -0.51735504, -1.1377273 , -1.58428609, -0.98929691,
       -1.19203596, -1.96983847, -1.13579142, -0.88169226, -1.18216514,
       -1.38307693, -1.48061402, -1.79612824, -1.42620425, -1.89701975]

cosKNtheta [0.93810532, 0.99297351, 0.50616015, 0.5779006 , 0.10882965,
       0.64894437, 0.09700895, 0.75866399, 0.17907588, 0.109746  ,
       0.72135561, 0.57928337, 0.748148  , 0.29600959, 0.18615174,
       0.37029653, 0.47710132, 0.24295105, 0.25833745, 0.16137993]
